full_name,sex,profession,hourly_salary,date_of_birth,weight,height,city_of_origin,last_seen,satisfaction_score,sleep_1,sleep_2,sleep_3
Emily Holmes,f,laborer,14.0,10/2/73,84.0,175.0,Manchester,2208-02-22,0.7068965517241379,7.0,8.8,11.3
Vincent Harris,m,psychologist,,1/11/72,72.0,171.0,Seattle,2208-02-24,0.7011494252873564,7.9,7.6,9.0
Matthew Wilson,m,electrician,14.0,7/6/71,66.0,179.0,Toronto,2208-02-22,0.5804597701149424,8.5,6.2,8.0
,m,police officer,14.0,11/2/66,82.0,177.0,New York,2208-02-22,0.6666666666666666,9.4,8.1,8.5
Marilyn Rodriguez,f,clerk,16.2,1/12/65,94.0,185.0,,2208-02-24,0.7298850574712644,8.9,,8.1
Patricia Thompson,f,clerk,16.1,2/15/94,83.0,182.0,Sydney,,0.9482758620689656,9.4,8.4,7.4
Ashley White,f,developer,13.5,12/20/90,93.0,195.0,Vancouver,2208-02-19,0.7183908045977011,7.6,8.2,7.3
Carl Griffin,m,plant worker,9.5,10/8/69,78.0,195.0,Birmingham,2208-02-22,0.425287356321839,9.3,6.8,9.2
Ethan Lopez,m,bartender,12.2,12/14/89,70.0,180.0,New York,2208-02-12,0.6954022988505747,,9.1,8.1
,f,gardener,9.9,12/26/81,91.0,175.0,Sydney,2208-02-13,0.4022988505747127,7.0,6.9,6.8
Sean Perez,m,bookkeeper,16.3,12/15/76,88.0,163.0,Seattle,2208-02-17,0.7988505747126438,8.2,8.0,5.5
Abigail McConaughey,f,police officer,13.9,12/21/67,74.0,189.0,Brisbane,2208-02-14,0.6666666666666667,7.4,8.4,9.5
Brian Gilmour,m,cook,11.9,7/19/96,74.0,165.0,Toronto,2208-02-22,0.6034482758620688,7.7,6.7,7.9
Danielle Clark,f,cashier,10.0,12/17/83,71.0,164.0,New York,2208-02-17,0.47701149425287354,8.1,8.4,5.8
Kayla Waters,,janitor,8.0,1/14/85,,179.0,Toronto,2208-02-13,0.3160919540229885,6.3,8.4,8.1
Danielle Jackson,f,clerk,16.0,12/1/61,90.0,166.0,Los Angeles,2208-02-15,0.6954022988505747,7.7,7.9,9.8
Rachel Watson,f,clerk,16.0,11/21/99,80.0,175.0,Brisbane,2208-02-24,0.9137931034482759,8.2,9.8,6.9
Carol Potter,f,bartender,12.5,7/1/84,65.0,193.0,Seattle,2208-02-14,0.5689655172413793,6.2,9.3,6.0
Benjamin Holmes,m,cook,11.9,9/25/79,94.0,,Montreal,2208-02-14,,6.9,7.9,9.3
Douglas Nabokov,m,,10.0,2/20/96,91.0,174.0,Toronto,2208-02-21,0.6091954022988506,7.7,8.5,8.2
Gregory Robinson,m,police officer,13.7,8/24/74,83.0,173.0,Birmingham,,0.5804597701149424,6.9,7.8,
Christina Garcia,f,cook,,9/10/74,77.0,191.0,Vancouver,2208-02-15,0.4942528735632184,8.4,7.8,8.5
Donald Walker,m,trader,15.0,11/21/95,92.0,190.0,Los Angeles,2208-02-24,0.7758620689655171,7.8,8.5,6.6
Philip Fry,m,plant worker,9.8,3/24/72,82.0,191.0,Vancouver,2208-02-15,0.34482758620689663,7.8,7.0,6.1
Dennis Lewis,m,clerk,16.0,10/11/90,,179.0,Los Angeles,2208-02-23,0.8620689655172414,9.9,8.4,9.4
Marilyn Griffin,f,cook,11.5,3/16/88,83.0,,Seattle,2208-02-24,0.5919540229885056,7.3,7.3,7.9
Mary Banner,f,gardener,10.5,,81.0,161.0,Los Angeles,2208-02-18,0.32758620689655177,8.9,7.4,8.8
Ryan Golding,m,developer,13.8,3/26/91,75.0,171.0,New York,2208-02-21,,7.9,,
Tyler Harris,m,bookkeeper,16.0,9/11/92,81.0,184.0,Sydney,2208-02-12,0.9310344827586208,9.6,8.6,8.9
William Anderson,m,clerk,15.9,,69.0,189.0,Toronto,2208-02-24,0.7988505747126436,9.6,9.2,7.2
Bobby Hansen,m,clerk,15.9,10/10/80,86.0,175.0,Birmingham,2208-02-16,0.7413793103448276,6.4,7.9,8.2
Thomas Watson,m,electrician,14.0,10/16/89,78.0,175.0,London,2208-02-24,0.6839080459770114,9.1,8.2,8.7
Grace Smith,f,bookkeeper,16.0,10/24/91,,180.0,Birmingham,2208-02-22,0.867816091954023,8.4,8.3,7.4
Louis Rodriguez,m,server,10.1,2/19/91,80.0,182.0,New York,2208-02-22,,7.4,7.8,6.1
Scott Anderson,m,carpenter,14.5,9/16/69,72.0,,New York,2208-02-17,0.7126436781609196,9.2,9.5,8.6
Russell Gilmour,,carpenter,14.5,4/26/62,78.0,179.0,New York,2208-02-22,0.614942528735632,8.2,9.1,6.2
Jessica Perez,f,bookkeeper,16.0,12/15/90,88.0,197.0,Los Angeles,2208-02-15,0.8620689655172414,8.0,7.0,
Alexis White,f,server,9.9,1/26/88,92.0,179.0,Brisbane,2208-02-22,0.5,9.4,7.9,9.2
Amber Thompson,f,clerk,16.3,,92.0,199.0,New York,2208-02-18,0.9770114942528737,10.6,7.6,6.0
,m,laborer,14.0,1/12/99,94.0,173.0,New York,2208-02-24,0.7988505747126436,7.8,6.6,
,f,developer,14.1,12/17/93,,174.0,,2208-02-22,0.7126436781609194,9.5,8.8,8.2
Janet Moore,f,bookkeeper,16.0,11/24/67,,197.0,Sydney,2208-02-22,0.7298850574712644,8.2,5.6,8.6
Stephanie Joyce,f,server,10.0,8/1/84,91.0,,Vancouver,2208-02-21,,8.0,8.1,8.3
Gregory Dickens,m,cook,11.7,7/27/77,,171.0,Los Angeles,2208-02-19,0.5977011494252874,10.2,,8.2
Ethan Williams,m,,14.0,4/7/67,79.0,181.0,Los Angeles,2208-02-14,0.6724137931034483,7.9,8.3,7.4
Heather Lawrence,f,bartender,12.1,9/1/77,81.0,170.0,London,2208-02-24,0.6206896551724138,7.5,8.0,7.5
Ethan Burgess,m,plant worker,10.0,4/28/68,74.0,174.0,Seattle,2208-02-16,0.3908045977011494,6.2,8.6,7.4
Debra Thompson,f,bartender,,,92.0,166.0,Melbourne,2208-02-13,0.6091954022988506,8.2,8.2,7.4
Roger Taylor,m,cook,12.2,12/1/65,70.0,192.0,Melbourne,2208-02-24,0.4425287356321839,8.4,6.6,7.8
Gabriel Perez,m,janitor,8.2,,68.0,184.0,London,2208-02-24,0.44252873563218387,8.2,8.4,10.1
Charles Williams,m,cook,11.8,8/8/97,75.0,170.0,New York,,0.603448275862069,8.1,8.3,7.1
Samuel Jones,m,carpenter,14.0,2/18/72,92.0,171.0,Birmingham,2208-02-13,0.6436781609195402,8.7,7.8,7.8
Dennis Williams,m,electrician,13.5,9/4/87,,181.0,Manchester,2208-02-22,0.7011494252873565,7.4,6.9,6.5
Melissa Smith,f,cook,11.5,6/27/86,77.0,182.0,Los Angeles,2208-02-20,0.6379310344827586,7.4,7.9,7.7
Margaret Banner,f,clerk,16.0,5/14/89,67.0,167.0,Sydney,2208-02-16,0.8563218390804598,5.8,8.2,8.6
Lawrence Hemingway,m,developer,14.3,1/22/92,82.0,198.0,Manchester,2208-02-18,0.7183908045977011,8.3,8.4,7.7
Louis Hansen,m,trader,14.7,10/19/73,86.0,161.0,Los Angeles,2208-02-22,0.6321839080459769,7.6,6.6,9.0
Janet Clark,f,police officer,13.7,11/13/88,81.0,186.0,Toronto,2208-02-22,0.660919540229885,8.6,9.4,8.2
Ryan Lawrence,m,janitor,7.7,4/4/63,67.0,182.0,Melbourne,,0.28735632183908044,7.2,9.0,7.8
Amber Dickens,f,plant worker,9.9,10/17/65,77.0,179.0,Vancouver,2208-02-24,,8.2,8.7,7.3
Grace Moore,f,cashier,10.0,9/25/70,77.0,176.0,Vancouver,2208-02-16,0.4597701149425287,8.6,6.1,8.7
David Maddison,m,electrician,14.0,9/18/99,93.0,177.0,Melbourne,2208-02-23,,7.1,9.2,7.2
